date,value
27 Nov 2018,9
26 Nov 2018,24
25 Nov 2018,18
24 Nov 2018,16
23 Nov 2018,20
22 Nov 2018,11
21 Nov 2018,8
20 Nov 2018,11
19 Nov 2018,7
18 Nov 2018,18
17 Nov 2018,10
16 Nov 2018,11
15 Nov 2018,19
14 Nov 2018,11
13 Nov 2018,12
12 Nov 2018,8
11 Nov 2018,13
10 Nov 2018,13
09 Nov 2018,15
08 Nov 2018,8
07 Nov 2018,13
06 Nov 2018,10
05 Nov 2018,17
04 Nov 2018,17
03 Nov 2018,9
02 Nov 2018,11
01 Nov 2018,18
31 Oct 2018,33
30 Oct 2018,13
29 Oct 2018,20
28 Oct 2018,19
27 Oct 2018,14
26 Oct 2018,11
25 Oct 2018,16
24 Oct 2018,19
23 Oct 2018,20
22 Oct 2018,11
21 Oct 2018,17
20 Oct 2018,20
19 Oct 2018,15
18 Oct 2018,12
17 Oct 2018,10
16 Oct 2018,18
15 Oct 2018,26
14 Oct 2018,17
13 Oct 2018,16
12 Oct 2018,12
11 Oct 2018,17
10 Oct 2018,18
09 Oct 2018,16
08 Oct 2018,24
07 Oct 2018,23
06 Oct 2018,26
05 Oct 2018,22
04 Oct 2018,16
03 Oct 2018,15
02 Oct 2018,26
01 Oct 2018,25
30 Sep 2018,58
29 Sep 2018,24
28 Sep 2018,11
27 Sep 2018,14
26 Sep 2018,14
25 Sep 2018,10
24 Sep 2018,25
23 Sep 2018,31
22 Sep 2018,20
21 Sep 2018,18
20 Sep 2018,14
19 Sep 2018,10
18 Sep 2018,17
17 Sep 2018,16
16 Sep 2018,26
15 Sep 2018,20
14 Sep 2018,10
13 Sep 2018,9
12 Sep 2018,15
11 Sep 2018,9
10 Sep 2018,9
09 Sep 2018,14
08 Sep 2018,11
07 Sep 2018,19
06 Sep 2018,9
05 Sep 2018,12
04 Sep 2018,13
03 Sep 2018,9
02 Sep 2018,7
01 Sep 2018,14
31 Aug 2018,10
30 Aug 2018,24
29 Aug 2018,17
28 Aug 2018,17
27 Aug 2018,8
26 Aug 2018,19
25 Aug 2018,16
24 Aug 2018,14
23 Aug 2018,8
22 Aug 2018,12
21 Aug 2018,13
20 Aug 2018,11
19 Aug 2018,21
18 Aug 2018,13
17 Aug 2018,16
16 Aug 2018,12
15 Aug 2018,10
14 Aug 2018,10
13 Aug 2018,11
12 Aug 2018,16
11 Aug 2018,23
10 Aug 2018,15
09 Aug 2018,12
08 Aug 2018,13
07 Aug 2018,24
06 Aug 2018,5
05 Aug 2018,19
04 Aug 2018,12
03 Aug 2018,20
02 Aug 2018,15
01 Aug 2018,14
31 Jul 2018,22
30 Jul 2018,22
29 Jul 2018,12
28 Jul 2018,10
27 Jul 2018,11
26 Jul 2018,18
25 Jul 2018,17
24 Jul 2018,14
23 Jul 2018,21
22 Jul 2018,19
21 Jul 2018,13
20 Jul 2018,14
19 Jul 2018,13
18 Jul 2018,15
17 Jul 2018,16
16 Jul 2018,17
15 Jul 2018,9
14 Jul 2018,15
13 Jul 2018,14
12 Jul 2018,12
11 Jul 2018,15
10 Jul 2018,21
09 Jul 2018,12
08 Jul 2018,22
07 Jul 2018,13
06 Jul 2018,14
05 Jul 2018,14
04 Jul 2018,15
03 Jul 2018,12
02 Jul 2018,10
01 Jul 2018,11
30 Jun 2018,12
29 Jun 2018,8
28 Jun 2018,13
27 Jun 2018,11
26 Jun 2018,18
25 Jun 2018,9
24 Jun 2018,12
23 Jun 2018,19
22 Jun 2018,12
21 Jun 2018,12
20 Jun 2018,20
19 Jun 2018,11
18 Jun 2018,17
17 Jun 2018,16
16 Jun 2018,8
15 Jun 2018,8
14 Jun 2018,16
13 Jun 2018,15
12 Jun 2018,17
11 Jun 2018,12
10 Jun 2018,12
09 Jun 2018,18
08 Jun 2018,30
07 Jun 2018,13
06 Jun 2018,10
05 Jun 2018,10
04 Jun 2018,18
03 Jun 2018,16
02 Jun 2018,8
01 Jun 2018,15
31 May 2018,7
30 May 2018,14
29 May 2018,10
28 May 2018,12
27 May 2018,14
26 May 2018,20
25 May 2018,14
24 May 2018,18
23 May 2018,19
22 May 2018,16
21 May 2018,10
20 May 2018,22
19 May 2018,13
18 May 2018,11
17 May 2018,13
16 May 2018,18
15 May 2018,18
14 May 2018,14
13 May 2018,12
