key,value
Alistair & Female Warden (Dragon Age),79
Fenris / Female Rogue Hawke,79
Alistair (Dragon Age) / Original Female Character(s),79
Anders / Sebastian Vael,79
Leliana / Female Mahariel,79
"Cremisius ""Krem"" Aclassi / Female Inquisitor",78
Hawke / Isabela,78
Female Adaar / Cullen Rutherford,77
Adaar / Dorian Pavus,77
Isabela / Aveline Vallen,76
Leliana / Cassandra Pentaghast,75
King Alistair / Female Warden,74
Anders / Carver Hawke,74
"Cremisius ""Krem"" Aclassi / Dorian Pavus",73
Male Hawke / Female Trevelyan,72
Leliana / Female Tabris,72
Danarius / Fenris,71
Mage Lavellan / Solas,71
Fenris / Anders,71
Cullen / Inquisitor (Dragon Age),70
Alistair / Female Cousland (Dragon Age),69
Male Hawke / Varric Tethras,69
Cullen Rutherford / Mage Trevelyan,68
Cassandra Pentaghast / Cullen Rutherford,68
Sten / Female Warden,67
Bethany Hawke / Isabela,67
Cullen / Female Trevelyan,67
Cullen Rutherford / Samson,67
Female Inquisitor & Dorian Pavus,66
Solas / Lavellan,66
Bethany Hawke / Sebastian Vael,66
Dorian / Male Inquisitor,66
Anders / Fenris / Female Hawke,65
Zevran Arainai / Tabris,65
Blackwall | Thom Rainier / Female Inquisitor,65
Iron Bull / Original Female Character(s),64
Alistair / Male Warden (Dragon Age),64
Bianca Davri / Varric Tethras,63
Male Hawke / Sebastian Vael,63
Male Mage Lavellan / Dorian Pavus,62
Female Cousland / Loghain Mac Tir,62
Zevran Arainai / Fenris,61
Female Rogue Lavellan / Cullen Rutherford,61
Anders / Male Hawke / Justice,61
Female Hawke / Isabela / Merrill,61
Anders / Bethany Hawke,61
Ashaad / Saemus Dumar,61
Friendship - Relationship,61
Cullen / Female Hawke,60
Male Hawke / Fenris,59
King Alistair / Cousland,59
Female Inquisitor / Leliana (Dragon Age),58
Justice!Anders / Hawke,58
"Cremisius ""Krem"" Aclassi / Iron Bull",57
Male Inquisitor / Solas,57
Inquisitor / Sera,57
Alistair / Brosca,57
Morrigan / Warden,56
Dorian Pavus / Solas,56
Cullen Rutherford / Female Warrior Trevelyan,56
Alistair / Female Trevelyan,56
Male Inquisitor / Iron Bull / Dorian Pavus,56
Female Mage Lavellan & Solas,55
