key,value
Hawke & Cullen Rutherford,3
Cole & Cassandra Pentaghast,3
Fergus Cousland / Original Character(s),3
Female Adaar & Male Adaar,3
Rylen / Female Rogue Trevelyan,3
Female Adaar & Varric Tethras,3
Sketch / Tug (Dragon Age),3
Male Lavellan / Sutherland,3
Female Amell / Anders / Zevran Arainai,3
past Lavellan / Solas - Relationship,3
Female Lavellan / Everyone,3
Female Trevelyan / Female Lavellan,3
(mentioned) - Relationship,3
Dorian Pavus & Halward Pavus,3
Fiona / Gereon Alexius,3
Dorian Pavus & Inquisitor,3
Anders & Nathaniel Howe,3
Cullen Rutherford & Dorian Pavus,3
female lavellan - Relationship,3
Andraste / The Maker,3
Cullen Rutherford / Solona Amell,3
Aedan Cousland / Anora Mac Tir,3
Cole / original male character,3
Garrett Hawke / Original Female Character,3
Garrett Hawke / Female Inquisitor,3
implied Isabela / Merrill,3
Anders / Justice / Fenris,3
Zevran Arainai / Male Lavellan,3
Carver / Hawke,3
Cullen Rutherford & Trevelyan,3
Alistair / Female Rogue Inquisitor,3
iron bull / adaar,3
Cole / Cassandra Pentaghast,3
Cole / Rhys (Dragon Age),3
Carver Hawke & Merrill,3
Zevran Arainai & Male Mahariel,3
Female Inquisitor / Male Warden,3
Male Lavellan & Varric Tethras,3
Blackwall / Thom Rainier,3
Leto / Dorian Pavus,3
Female Inquisitor / Cassandra Pentaghast (background),3
Dorian Pavus / Sebastian Vael,3
Anders / Male Tabris,3
Eamon Guerrin / Isolde Guerrin,3
Iron Bull / Dorian Pavus (implied),3
Dorian Pavus & Felix Alexius,3
Ser Cauthrien / Temperance Cousland,3
Dorian Pavus / Cillian Trevelyan,3
Male Amell / Female Surana,3
Varric Tethras / Cassandra Pentaghast,3
Merrill / Aveline Vallen,3
Cousland / Cailan Theirin,3
Duncan / Male Warden,3
Molly Hooper / Finn,3
"Cremisius ""Krem"" Aclassi / Stitches",3
Abelas / Female Lavellan / Solas,3
NB Lavellan / Solas,3
Sebastian Vael & Original Character(s),3
Darcy Lewis / Sam Wilson,3
Darcy Lewis / Wade Wilson,3
Darcy Lewis / Thor,3
Darcy Lewis / Johnny Storm,3
Zevran Arainai / Cassandra Pentaghast,3
Lavellan / Merrill,3
Teddy Altman / Billy Kaplan,3
Male Inquisitor / Iron Bull / Dorian Pavus / Cullen Rutherford,3
Alistair / Male Hawke,3
Female Adaar / Gereon Alexius,3
Carver Hawke / Original Male Character,3
Architect / Surana,3
Female Hawke / Female Lavellan,3
Dalish / Lavellan,3
Implied Hawke / Fenris,3
Isaura Lavellan / Cullen Rutherford,3
Alain / Original Male Character,3
Iron Bull & Qunari,3
Female Cousland / Fergus Cousland,3
Dorian / Trevelyan,3
Male Rogue Inquisitor / Iron Bull,3
Solas / Female OC,3
Anders / Iron Bull,3
Cullen Rutherford / Female Trevelyan (mentioned),3
Anders / Carver Hawke / Sebastian Vael,3
Anders / Danarius,3
Alistair / Male Elf Warden,3
past Anders / Female Hawke,3
Sera & Cole,3
Male Lavellan / OC,3
Male Lavellan / Dorian Pavus / Cullen Rutherford,3
Inquisitor / Inquisitor,3
Male Hawke & Carver Hawke,3
Cousland / Alistair,3
Piras Surana / Zevran Arainai,3
Jowan / Leliana,3
Fen'Harel / Fenris,3
Female Trevelyan / Varric Tethras,3
"Cremisius ""Krem"" Aclassi & Fenris",3
Morrigan & Male Surana,3
Fenris  /  Female Hawke,3
Soldier: 76 | Jack Morrison / Reaper | Gabriel Reyes,3
Pavelyan,3
Female Hawke & Female Trevelyan,3
Implied anders / Female Hawke,3
Anders / Zevran Arainai / Male Warden,3
Fenris / Various,3
Anders / Tentacles,3
Threesome - Relationship,3
Iron Bull / Male Warrior Lavellan,3
Morrigan & Female Surana,3
Zevran Arainai / Fenris / Female Mahariel,3
Leliana / Female Amell,3
past Anders / Hawke - Relationship,3
Alistair & Anders,3
Warden & Warden,3
Sigrun / Warden (Dragon Age),3
Female Brosca / Sigrun,3
Female Mahariel / Female Tabris,3
Dorian Pavus / Lavellan,3
Leliana & Mahariel,3
Background Fenris / Female Hawke,3
Female Mage Hawke / Isabela,3
Unrequited Handers,3
Auntie Lavellan / Solas,3
Male Trevelyan / Cassandra Pentaghast,3
Adaar / Lavellan,3
past Alistair / Female Tabris,3
Male Adaar / Varric Tethras,3
Female Inquisitor / Leliana,3
Female Adaar / Hakkon Wintersbreath,3
Sebastian / Female Hawke,3
Anders / Solas,3
Anders & Solas,3
Mahariel / Surana,3
Male Aeducan / Female Brosca,3
Female Hawke & Female Lavellan,3
Fenris / M!Hawke,3
Varric / Bianca,3
Zevran Arainai / Male Trevelyan,3
Warden / Warden (Dragon Age),3
Malcolm Hawke / Leandra Hawke,3
Danarius & Fenris,3
Fergus Cousland / Leliana,3
OFC / OFC,3
Male Mage Hawke / Isabela,3
Female Inquisitor / Merrill,3
Cailan Theirin / Anora Mac Tir,3
Male Hawke / Female Hawke,3
trevelyan / lavellan,3
Zevran Arainai / Female Mage Warden,3
Nesiara / Male Tabris,3
Everyone & Everyone,3
Bethany Hawke / Fenris,3
past Alistair / Cousland,3
King Alistair / Female Trevelyan,3
Varric Tethras / Female Warden,3
Male Mage Hawke / Cullen Rutherford,3
Iron Bull / OC,3
Cullen Rutherford / Female Herald,3
one-sided Anders / Male Hawke,3
Female Surana / Male Amell,3
Leandra Hawke & Male Hawke,3
Leandra Hawke / Male Hawke,3
Male Inquisitor / OC,3
Iron Bull & Solas,3
Female Brosca / Varric Tethras,3
Female Mahariel / Male Mahariel,3
Male Inquisitor / Female Lavellan,3
(preslash),3
Bethany Hawke / Aveline Vallen,3
Soris / Female Surana,3
Female Inquisitor / Templar,3
Gaspard de Chalons / Jean-Esmeral,3
Male Warden / Male Warden,3
Solas / Sora,3
Female Inquisitor / Fenris,3
Cullen Rutherford / Maevaris Tilani,3
Blackwall / Female Inquisitor / Iron Bull,3
Anders / Zevran Arainai / Nathaniel Howe,3
Female Rogue Adaar / Iron Bull,3
Brother / Sister,3
Mage Hawke / Sebastian Vael,3
Dagon / Dorian,3
Female Cadash / Female Lavellan,3
Anders / Saarebas,3
Merrill / Tamlen,3
Blackwall / Adaar,3
Desya Lavellan / Raleigh Samson,3
Female Hawke / Morrigan,3
kanders,3
trevelyan - Relationship,3
Fem!Loghain / Female Tabris,3
Male Surana / Cullen Rutherford,3
Female Amell / Anora Mac Tir,3
Male Warden / Morrigan,3
Male Surana / Male Amell,3
Female Inquisitor / Original Non-Inquisitor Trevelyan(s),3
Warden & OC,3
Amell / Sten,3
Alistair Theirin / Female Amell,3
Cadash / Cullen Rutherford,3
Carver Hawke / Female Warden,3
Female Lavellan / Merrill,3
Architect / Corypheus,3
Male Cousland / Male Tabris,3
"Cremisius ""Krem"" Aclassi & Male Inquisitor",3
Female Cousland / Riordan,3
Cassandra Pentaghast / Female Elf,3
Fergus Cousland / Anora Mac Tir,3
Inquisitor / Iron Bull / Solas,3
Cullen / You,3
Implied Iron Bull / Dorian Pavus - Relationship,3
Hawke & Inquisitor (Dragon Age),3
Isabela / Female Surana,3
Samson / Female Lavellan,3
Iron Bull / Merrill,3
Implied Cullen / Lavellan,3
Fenris / Danarius,3
Jarvia / Isabela,3
Fenris / Male Hawke(mentioned),3
Vaeyin Lavellan / Faycen Malik,3
Pavelyan - Relationship,3
Bhelen Aeducan & Male Aeducan,3
Greg Lestrade & John Watson,3
Mycroft Holmes & Sherlock Holmes,3
Kaidan Alenko / Dorian Pavus,3
Andraste / Shartan,3
Inquisitor / Blackwall,3
Alistair / Female Amell / Morrigan,3
Justice / Anders,3
Female Adaar / Male Adaar,3
Fíli / Original Female Character(s),3
Kíli / Original Female Character(s),3
Dorian Pavus / Cole,3
Zevran Arainai / Cullen Rutherford,3
Bethany Hawke & Leandra Hawke,3
Zevran Arainai / Kwerkus Mahariel,3
Zevran Arainai / Alistair,3
Female Cousland / Justice,3
Isabela / Female Mahariel,3
Solas / Leliana,3
Solas / Cullen Rutherford,3
Fenris / Male Hawke / Anders,3
Cullen / Female Amell,3
Wade / Herren,3
Dagna / Samson,3
Cullen / Anders,3
one-sided Anders / Hawke,3
Mahariel / Alistair,3
Anders / Warden,3
Solas / Aerys Lavellan,3
Anders - Relationship,3
InquisitorxCullen,3
LavellanxCullen,3
Wynona / Solas,3
female inquisitor / Ser Barris,3
past Hawke / Fenris,3
Alistair / Female Amell / Cullen,3
Cullen / Female Trevelyan (hinted),3
Teagan Guerrin / Anora Mac Tir,3
Varric / Fenris,3
Ser Cauthrien / Loghain Mac Tir,3
fabian hawke / ziya surana,3
Hawke / Sebastian,3
Duncan / Surana,3
John Watson & Sherlock Holmes,3
Orsino / Anders,3
Zevran Arainai / Original Male Character,3
Cullen / Original Female Character,3
Zevran / Female Warden,3
Sebastian Vael / Merrill,3
Serena Cousland / Alistair,3
Zevran Arainai / Female Aeducan,3
Athenril / Hawke,3
Sigrun / Varric Tethras,3
Female Hawke / Maric Theirin,3
Ser Cauthrien / Teagan Guerrin,3
Bethany / Sebastian,3
Leliana / Zevran Arainai / Female Tabris,3
Alistair / Female Cousland / Zevran Arainai,3
Alistair / Sareyna Cousland,3
Male Amell / Zevran Arainai / Morrigan,3
Evil Queen | Regina Mills / Emma Swan,2
Belle / Red Riding Hood | Ruby,2
Kahlan Amnell / Cara Mason,2
More to be added - Relationship,2
OC & Blackwall,2
Female Lavellan / Cullen Rutherford (Minor),2
Fenris / Male Hawke (minor),2
solas & female lavellan,2
Female Lavellan & Original Female Character(s),2
Dovahkiin | Dragonborn & Iron Bull,2
Dorian / Original Male Character(s),2
OC Templar / OC Mage,2
Alistair / Female Amell / Cullen Rutherford / Female Trevelyan,2
Female Mage / Cullen Rutherford,2
Rey / Ben Solo | Kylo Ren,2
Isabela & Fenris,2
Solas (Dragon Age) & Original Character(s),2
Fen'Harel (Dragon Age) / Original Character(s),2
mentioned,2
Cullen Rutherford / Alistair,2
Rhys / Vaughn (Borderlands),2
The Iron Bull / Other(s) (Dragon Age),2
Natasha Romanov & Tony Stark,2
Female Cousland & Leliana (Dragon Age),2
Gereon Alexius / Female Mage Inquisitor,2
Varric Tethras / OC,2
Female Amell & Loghain Mac Tir,2
Gaspard de Chalons & Female Lavellan,2
Female Nerevarine / Solas,2
Female Hawke / Anders (past),2
Raleigh Samson & Female Trevelyan,2
InquisiDor,2
Iron Bull / Vasaad,2
Sam Winchester / Original Female Character(s),2
Loki (Marvel) / Original Female Character(s),2
Female Mage Trevelyan & Cullen Rutherford,2
background Zevran / Warden,2
Female Mage Trevelyan - Relationship,2
Craig Boone / Female Courier / Ulysses,2
"James ""Rhodey"" Rhodes & Tony Stark",2
Bruce Banner & Tony Stark,2
DragonHarem - Relationship,2
Laura Barton / Loki,2
Cullen / Female elf,2
Female Warden & Morrigan,2
Zevran Arainai / Harry Potter,2
Leliana / Female Warden (Background),2
Obi-Wan Kenobi & Anakin Skywalker,2
Male Hawke / Isabela (background),2
none yet,2
Original Female Character / Cullen Rutherford,2
Felix Alexius / Original Female Character(s),2
Helisma Derington / Minaeve,2
Zevran Arainai / Female Elf,2
Leliana & Sera,2
Male Inquisitor & Sera (Dragon Age),2
Male Brosca / Morrigan,2
Implied Female Lavellan / Solas - Relationship,2
Anders & Fenris (Dragon Age),2
Male Warden / OMC,2
Fenris / Ava Ansgot,2
Anders / Reina Ansgot,2
2B / 9S (NieR: Automata),2
Blake Belladonna / Ruby Rose / Weiss Schnee / Yang Xiao Long,2
Male Sole Survivor / Piper Wright,2
Booker DeWitt / Elizabeth,2
Ruby Rose / Weiss Schnee,2
Ben Tennyson / Gwen Tennyson,2
Female Adaar / Female Hawke,2
Sten / Surana (Dragon Age),2
Anders / Cole,2
disclaimer- it takes like 24 chapters for iron bull to even come into this fic,2
its a very very very slow burn and the relationship isnt really a main plot,2
but im tagging just in case anyone has squicks about it,2
Alistair / Male Amell (Dragon Age),2
Female Tabris / Original Male Character(s),2
Female Warden (Dragon Age) / Original Male Character(s),2
Chae Hyungwon / Yoo Kihyun,2
Solas / Original Female Elvhen Character,2
past Male Lavellan / Male Lavellan,2
Harry Potter / Tom Riddle,2
Male Surana / Male Lavellan,2
Male Inquisitor / Female Warden (Dragon Age),2
Iron Bull / Male Lavellan / Cullen Rutherford,2
Stephano Noir / Dorian Pavus,2
Fen'Harel | Solas / Original Male Character(s),2
Female Surana / Architect,2
Leliana / Josephine Montilyet / Cassandra Pentaghast,2
Female Dovahkiin | Dragonborn / Farkas,2
Waverly Earp / Nicole Haught,2
Iron Bull / You,2
Female Inquisitor / Alduin,2
OC X OC,2
Female Inquisitor & Original Female Character(s),2
Dorian Pavus & Original Male Character(s),2
Anna / Elsa (Disney),2
Sera / Widdle,2
Athenril / Female Hawke,2
Abelas / Lavellan / Solas (Dragon Age),2
Isabela / Others,2
Iron Bull / Others,2
Justice & Female Warden,2
Justice (Dragon Age) / Reader,2
Female Amell / Cullen (implied),2
M / M relationship - Relationship,2
Arishok / Isabela,2
Male Inquisitor / Female Warden,2
"Cremisius ""Krem"" Aclassi / Nonbinary Trevelyan",2
cullen rutherford & female hawke,2
Thane Krios / Shepard,2
Female Hawke / Keran,2
Female Amell / Isabela,2
Female Amell / Cullen Rutherford (in the past),2
Inquisitor / Qunari,2
Lavellan / Qunari,2
Cullen Rutherford /  Dorian Pavus,2
Cullen Rutherford /  Female Inquisitor,2
Halward Pavus / Aquinea Thalrassian,2
Background Male Hawke / Fenris,2
Abelas & Female Inquisitor (Dragon Age),2
Iron Bull / Dorian Pavus / Original Character(s),2
Isabela (Dragon Age) / Original Character(s),2
Josephine Montilyet / Original Male Character,2
Blackwall & Josephine Montilyet,2
Alistair & Wynne (Dragon Age),2
Loki (Marvel) / Reader,2
Vision (Marvel) / Reader,2
Anders & Carver Hawke,2
Lavellan & Sera,2
hawke x fenris,2
Samuel Drake / Reader,2
Nathan Drake / Reader,2
Joel (The Last of Us) / Reader,2
Bigby Wolf / Reader,2
Solid Snake / Reader,2
Kazuhira Miller / Reader,2
Rafe Adler / Reader,2
Duncan / Surana / Male Warden,2
Cullen x Inquisitor,2
Dorian Pavus / Female Inquisitor,2
Mabari & Warden (Dragon Age),2
Lavellan / Lavellan / Solas,2
Josephine Montilyet / Varric Tethras,2
"Cremisius ""Krem"" Aclassi / Original Male Character(s)",2
Female Mage / Alistair,2
Background,2
Female Surana / Male Tabris,2
Zevran Arainai & Leliana,2
Female Amell / Justice,2
Loghain Mac Tir / Reader,2
Solas & Flemeth | Mythal (Dragon Age),2
past - Relationship,2
Male Cousland / Male Hawke,2
Trevelyan / Miranda Lawson,2
Female Shepard / Samantha Traynor,2
Arishok & Female Hawke,2
Female Amell / Leliana / Morrigan,2
Inner Circle / Inquisitor,2
"Maxine ""Max"" Caulfield / Chloe Price",2
Isabela (Dragon Age) / Reader,2
Morrigan (Dragon Age) / Reader,2
Felix Alexius / Male Lavellan,2
Delrin Barris / Cassandra Pentaghast,2
Carver Hawke / Dorian Pavus / Cullen Rutherford,2
Zevran Arainai / Solas,2
solas / tentacles,2
thea x loghain,2
Michel de Chevin / Female Mage Inquisitor,2
Sera & Inquisitor,2
Anders & Mage Underground,2
Female Inquisitor / Female Lavellan,2
Female Inquisitor / Female Trevelyan,2
Gamlen Amell & Hawke,2
The Inquisition / Inquisitor (Dragon Age),2
Cullen Rutherford / Mage Inquisitor,2
and many others - Relationship,2
Female Amell / Female Surana (Dragon Age),2
Liane Hawke / Varric Tethras,2
Minor Varric / Cassandra,2
Elvhen & Solas (Dragon Age),2
Cadash / Blackwall,2
Cullen Rutherford / Shepard (Mass Effect),2
Fenris / Warrior Hawke,2
Anders / Undisclosed,2
Male Dovahkiin | Dragonborn / Fenris (Dragon Age),2
Kassandra / Natakas (Assassin's Creed),2
Miranda Lawson / Male Shepard,2
Iron Bull / Dorian Pavus / Zevran Arainai,2
Original Male Character & Original Male Character,2
Past Solavellan - Relationship,2
other background ships,2
Female Warden / Loghain Mac Tir,2
Male Warden / Tamlen,2
Bethany Hawke / Female Trevelyan,2
Female Inquisitor /  Bethany Hawke,2
Original Male Character(s) / Original Female Character(s),2
Warden / OC,2
Reaper | Gabriel Reyes / Soldier: 76 | Jack Morrison,2
Bishop / Female Dovahkiin | Dragonborn,2
Female Dovahkiin | Dragonborn / Loki (Marvel),2
Female Elf Warden / Delrin Barris,2
Male Surana / Female Lavellan,2
Lucio (The Arcana) / Original Male Character(s),2
Solas / Mage Lavellan,2
Leliana & Female Surana (Dragon Age),2
Alistair / Female OC,2
Anders / Irving (Dragon Age),2
Vivienne & Male Trevelyan,2
female trevelyan / loghain mac tir,2
past Female Aeducan / Gorim Saelac,2
Alistair / Josephine Montilyet,2
Female Lavellan / Morrigan,2
Female Warden & Wynne,2
Male Shepard / Velanna,2
Carver Hawke & Hawke,2
Anora Mac Tir / Female Surana,2
Alistair / Male Amell / Zevran Arainai,2
Implied Solas / Female Lavellan,2
Lavellan & Briala,2
Female rogue Cousland / Leliana,2
Rogue Cousland / Leliana,2
Alistair / Leliana (former),2
Male Cousland / Morrigan (former),2
Anders & Mahariel,2
Nathaniel Howe & Mahariel,2
Anders / Surana (Dragon Age),2
Female Rogue Hawke / Cullen Rutherford,2
Female Dovahkiin | Dragonborn & Alduin,2
Adaar & Shokrakar,2
Merrill / Orsino,2
Samson / Cullen,2
"James ""Bucky"" Barnes / Reader",2
Sam Winchester / Reader,2
Castiel / Reader,2
Peter Parker / Reader,2
Loki / Reader,2
Varric Tethras / Hero of Ferelden,2
Noctis Lucis Caelum / Ignis Scientia,2
Cullen Rutherford / Maerwynne Trevelyan,2
Gereon Alexius & Inquisitor,2
Duncan / Female Surana,2
Alucard (Hellsing) / Reader,2
Anders (Dragon Age) / Reader,2
Soldier: 76 | Jack Morrison / Reader,2
Reaper | Gabriel Reyes / Reader,2
Sherlock Holmes & Reader,2
Cole & Justice (Dragon Age),2
Bethany Hawke & Isabela,2
Keith / Shiro (Voltron),2
Alistair / Inquisitor / Cullen Rutherford,2
Alistair / Female Warden (Mentioned),2
Fenris / Male Hawke (mentioned),2
Blackwall | Thom Rainier / Lavellan,2
Loki & Thor,2
Female Inquisitor (Dragon Age) / Other(s),2
Female Cousland / Dairren (Dragon Age),2
Sidony / Tamar,2
Male Lavellan / Cassandra Pentaghast (background),2
Blackwall / Josephine Montilyet (background),2
Female Lavellan / Cullen Rutherford (Background),2
Angeal Hewley / Genesis Rhapsodos,2
Dorian Pavus / Original Female Character(s),2
Dragon Age II Companions & Female Hawke,2
Undecided,2
Solas / Ihra,2
Carver Hawke / Warden,2
Cassandra Pentaghast & Vivienne,2
Dorian / Inquisitor,2
Male Mage Inquisitor / Templar,2
Trevelyan / Templar,2
Livius Erimond / Lavellan,2
Jaal Ama Darav / Female Ryder | Sara,2
Javik / Liara T'Soni,2
Implied Cullen Rutherford / Female Trevelyan,2
Dorian x Lavellan,2
dorian x inquisitor - Relationship,2
Varric Tethras / Bethany Hawke,2
Jafar / Sinbad (Magi),2
past Alistair / Female Warden,2
Merrill / Female Warden (Dragon Age),2
Jacob Frye / Reader,2
Ezio Auditore da Firenze / Reader,2
Batman / Reader,2
Fen'Harel | Solas / Male Lavellan,2
Hawke / Qunari,2
Danarius / Leto,2
Male Ryder | Scott / Reyes Vidal,2
Dirthamen / Selene - OC,2
Duncan & Fiona (Dragon Age),2
Male Cousland & Nathaniel Howe,2
Alistair Theirin / Nalissa Cousland,2
Male Lavellan / Dorian Pavus / Iron Bull,2
Morrigan / Female OC,2
Cassandra Pentaghast / Zaida Lavellan,2
Cullen / Solas,2
Past Female Inquisitor / Solas,2
Male Shepard / Liara T'Soni,2
Corypheus & Inquisitor (Dragon Age),2
Anders & Bethany Hawke,2
Female Lavellan / Sebastial Vael,2
Abelas & Lavellan (Dragon Age),2
Cassandra Pentaghast & Solas,2
Sebastian Vael / Original Male Character(s),2
Jim (Dragon Age) / Other(s),2
Bethany Hawke / Original Character(s),2
Dirthalene (relationship),2
Leliana & Inquisitor,2
Dagna / Varric Tethras,2
Hawke & Merrill (Dragon Age),2
Female Brosca / Isabela,2
Sera / Cadash,2
Keith / Lance (Voltron),2
Allura / Shiro (Voltron),2
Bethany Hawke / Sigrun,2
background Dorian / Bull - Relationship,2
Alistair / Cailan Theirin,2
Felix Alexius / Iron Bull,2
Alistair / Female Inquisitor / Cullen Rutherford,2
Darcy Lewis & Tony Stark,2
past Leliana / Female Warden,2
Past Leliana / Marjolaine,2
Alistair & Female Inquisitor (Dragon Age),2
Female Cousland / Female Mahariel / Leliana,2
F / M - Relationship,2
Anders / Hawke (background),2
Alistair / Female Warden (dragon age) (past),2
background adoribull - Relationship,2
Alistair Theirin / Original Female Character(s),2
Male Lavellan & Female Mahariel,2
Past Female Mahariel / Tamlen,2
Female City Elf / Solas,2
Thancred / Warrior of Light,2
Cullen Rutherford / Warrior of Light,2
Female Hawke - Relationship,2
Cousland / Mahariel,2
Delrin Barris / Female Elf Warden,2
Inquisitor Lavellan / Anders,2
Shokrakar / Blackwall,2
OC / Canon - Relationship,2
ShokWall,2
Reader / Various,2
Dean Winchester / You,2
Sharkbait,2
Selene - OC / Dirthamen,2
Aelynthi - OC / Victory - OC,2
Dorian Pavus / Radonis,2
Mahariel / Tabris,2
Cassandra Pentaghast & Female Lavellan,2
Velanna & Warden (Dragon Age),2
Hawris,2
Avexis / Cullen Rutherford,2
Anders / Female Cousland / Nathaniel Howe,2
minor Female Inquisitor / Cullen Rutherford,2
Cullen Rutherford / Knight-Commander Zhukov,2
Sera & Adaar,2
To be determined...,2
Aili / Uthvir,2
Uthvir / Aili,2
Flynn Trevelyan / Dorian Pavus,2
Cullen Rutherford & Raleigh Samson,2
Anders / Male Hawke-background,2
Delrin Barris / Male Inquisitor,2
Dorian Pavus / Male Trevelyan / Cole,2
female OC / female OC,2
Female Mage Adaar / Cassandra Pentaghast,2
Carth Onasi / Female Revan,2
Fenris (Dragon Age) / Harry Potter,2
Sera / Male Trevelyan,2
Female Lavellan / Female Tabris,2
Female Lavellan / Solas (mentioned),2
Male Adaar & Female Adaar,2
Alistair / Original Non-Warden Amell(s),2
Architect / Female Warden (Dragon Age),2
minor Cullen Rutherford / Female Trevelyan - Relationship,2
To be announced,2
Zevran Aranai / Merrill,2
Michel de Chevin / Female Trevelyan,2
Rylen - Relationship,2
male warden / original female character,2
Jowan & Warden (Dragon Age),2
Jenna Cousland / Teagan Guerrin,2
Carver Hawke / Peaches,2
mentioned Leliana / Female Surana,2
Mage Inquisitor / Iron Bull,2
Zevran - Relationship,2
Josephine Montilyet / Original Character(s),2
Cailan Theirin / Original Female Character(s),2
Elsa (Disney) / Bethany Hawke / Merrill (Dragon Age),2
Male Lavellan / Varric Tethras,2
Zevran Arainai / Inquisitor,2
Fenris / Female Inquistor,2
Female Cousland / Zevran,2
Armitage Hux / Kylo Ren,2
merrill / isabella,2
Original Character / Cullen Rutherford,2
Alistair / Female Mage,2
Anora Mac Tir & Original Female Character(s),2
Roiya Lavellan / Solas,2
Male Hawke / Original Character,2
FemFenris / Male Hawke,2
Sten / Male Amell,2
Zevran Arainai & Rinna & Taliesen,2
Lace Harding / Original Female Character(s),2
Male Mahariel / Zevran,2
Gladiolus Amicitia / Noctis Lucis Caelum,2
Male Mahariel / Male Tabris,2
OC & OC,2
Female Warden / Female Warden (Dragon Age),2
Female Tabris / Female Surana,2
Anders / Ketojan,2
Venom Snake / Reader,2
Gladiolus Amicitia / Reader,2
iron bull / dorian,2
Female Mahariel & Anders,2
Male Trevelyan / Leliana,2
Alistair / Venowen Tabris,2
Female Inquisitor / Josephine Montilyet / Cassandra Pentaghast,2
Lace Harding / Female Trevelyan,2
Josephine Montilyet / Sebastian Vael,2
Sebastian Vael / Female Hawke (past),2
Solas / Female Tabris,2
Female Cousland / Rendon Howe,2
Inquisitor / Dorian,2
F!Inquisitor / Josephine Montilyet,2
Iron Bull / Male Trevelyan (implied),2
Iron Bull / Baz Trevelyan (implied),2
Rylen (Dragon Age) & Original Character(s),2
Isabela / Morrigan,2
Flemeth & Morrigan,2
Cassandra / Sera,2
Destiel,2
Male Lavellan / Original Female Character,2
Mahariel / Zevran,2
Carver Hawke / Reader,2
Tristan Amell / Anders,2
Female Lavellan / Gereon Alexius,2
Lavellan / Hawke,2
Tamlen / Original Female Character,2
blackwall / oc,2
Michel de Chevin / Female Lavellan,2
Female Mage Trevelyan /  Cullen Rutherford,2
Kaidan Alenko / Shepard,2
Male Trevelyan / Original female character,2
Duncan & Female Surana,2
Cremisius “Krem” Aclassi / Female Cadash,2
Female Hawke / Varric Tethras (Implied),2
Original Character / Original Male Character,2
Past Female Cousland / Alistair,2
Mentioned Anders / Karl,2
Krem / Maryden,2
Flemeth / Inquisitor,2
Inquisition - Relationship,2
Male Hawke & Isabela,2
Loki & Thor (Marvel),2
Various Others - Relationship,2
Alistair / Anora Mac Tir / Warden,2
Merrill & Isabela,2
Male Mage Trevelyan / Dorian Pavus,2
Lavellan / Rylen,2
Female Warden / Leliana,2
Lace Harding / Female Lavellan,2
Female Adaar / Josephine Montilyet / Cullen Rutherford,2
Female Amell / Architect,2
Irving / Wynne,2
Alistair / Wynne,2
Cole & Male Inquisitor,2
Alistair / Zevran Arainai / Mahariel,2
Dagna / Sera (mentioned),2
Cullen Rutherford /  Female mage Trevelyan,2
Implied Danarius / Fenris,2
Female Lavellan & Cassandra Pentaghast,2
Varric / Original Female Character,2
Raleigh Samson / Maddox,2
Arishok / Reader,2
OC / Dorian Pavus,2
Sebastian Michaelis / Reader,2
Anders / Original Characters,2
Akaashi Keiji / Bokuto Koutarou,2
Others mentioned,2
Isabela / Merrill (background),2
Jack | Subject Zero / Miranda Lawson,2
One sided Anders / Female Hawke,2
Fenris / Female Mahariel,2
Sebastian Vael / Original Female Character,2
Friendships - Relationship,2
Female Tabris / Leliana,2
Male Shepard / Garrus Vakarian,2
Lavellan  /  Solas,2
Morrigan / Warden friendship,2
Zevran / Surana,2
hawke - Relationship,2
varric / hawke,2
Mycroft Holmes / Greg Lestrade,2
Male Lavellan / OFC,2
Cullen Rutherford / Margo Trevelyan,2
Male Mahariel & Male Surana,2
Alistair Theirin /  Cullen Rutherford,2
Female Inquisitor / Sera / Solas,2
Female Hawke / Isabela / Leliana,2
Anders / Zevran Arainai / Isabela,2
"Jeff ""Joker"" Moreau / Female Shepard",2
Female Shepard / Tali'Zorah nar Rayya,2
Carver Hawke / Female Mahariel,2
Male Amell / Merrill,2
Gilmore & Male Warden,2
Ashlinn Cousland / Alistair,2
Female Hawke /  Fenris,2
Fenris / Anders / Zevran / M!Hawke,2
Anders / Norah (Dragon Age),2
Seneschal Varel / Male Andras,2
Alistair / Lothering templars,2
Alistair / Ser Maron,2
Alistair / Ser Bryant,2
Female Hawke / Varric,2
Female Hawke / Isabela / Varric Tethras,2
Gereon Alexius & Female Trevelyan,2
Female Warden / Male Warden,2
Rendon Howe / Eliane Bryland,2
Female Mahariel & Sten,2
background Female Hawke / Isabela,2
Female Warden / Original Character,2
Female Warden (Dragon Age) / Original Character(s),2
Livia / Isabela,2
Fenris / Hawke / Isabella (Dragon Age),2
Anders / Male Trevelyan,2
Nadas'an / Solas,2
Male Trevelyan / Female Lavellan,2
Blackwall / Female Inquisitor / Cullen Rutherford,2
Dorian Pavus & Vivienne,2
Dorian Pavus / Vaxus Trevelyan,2
Blackwall | Thom Rainier & Male Inquisitor,2
Blackwall / Cadash (Dragon Age),2
King Alistair / OC,2
Cullen Rutherford  /  Reader,2
Mage Trevelyan / Dorian Pavus,2
Iron Bull / Female Saarebas,2
Adaar & Cole,2
Fenris / Karl Thekla,2
Alistair / Female Cousland (implied),2
Merrill / Morrigan,2
Isabela / Female Tabris,2
Fenris & Carver Hawke,2
Iron Bull & Original Male Character(s),2
